Fecha,Apertura,Máximo,Mínimo,Cierre,Cierre_Ajustado,Volumen
2024-10-24,1774319.0,1852322.0,1774319.0,1849995.0,1849995.0,
2024-10-23,1807539.0,1810057.0,1759559.0,1774319.0,1774319.0,
2024-10-22,1820705.0,1835511.0,1803589.0,1807539.0,1807539.0,
2024-10-21,1823330.0,1831959.0,1812432.0,1820705.0,1820705.0,
2024-10-18,1801604.0,1826169.0,1781717.0,1823330.0,1823330.0,
2024-10-17,1776061.0,1815012.0,1776061.0,1801604.0,1801604.0,
2024-10-16,1816251.0,1834670.0,1773044.0,1776061.0,1776061.0,
2024-10-15,1804415.0,1822998.0,1786601.0,1816251.0,1816251.0,
2024-10-14,1782989.0,1821032.0,1782989.0,1804415.0,1804415.0,
2024-10-10,1771933.0,1807036.0,1768915.0,1782989.0,1782989.0,
2024-10-09,1731370.0,1784035.0,1712532.0,1771933.0,1771933.0,
2024-10-08,1714594.0,1737431.0,1714418.0,1731370.0,1731370.0,
2024-10-07,1756515.0,1756515.0,1707203.0,1714594.0,1714594.0,
